folderCode,rootSet,rootSelection,setFile,nodeId,nodeType,lineCount,payloadPreview,detectedPrefixes,mappedCategory,mappedSubcategory,mappedSubmenu,chosenPrefix,notes
Ftsc,Ftsc.set,Ftsc1,Ftsc9.set,Ftsc9,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc10.set,Ftsc10,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc11.set,Ftsc11,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc12.set,Ftsc12,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc13.set,Ftsc13,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc14.set,Ftsc14,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc15.set,Ftsc15,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc16.set,Ftsc16,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc17.set,Ftsc17,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc18.set,Ftsc18,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc19.set,Ftsc19,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc20.set,Ftsc20,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc21.set,Ftsc21,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc22.set,Ftsc22,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc23.set,Ftsc23,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc24.set,Ftsc24,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc25.set,Ftsc25,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc26.set,Ftsc26,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw1.set,Ftsw1,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw2.set,Ftsw2,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw3.set,Ftsw3,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw4.set,Ftsw4,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw5.set,Ftsw5,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw6.set,Ftsw6,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw7.set,Ftsw7,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw8.set,Ftsw8,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw9.set,Ftsw9,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw10.set,Ftsw10,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw11.set,Ftsw11,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw12.set,Ftsw12,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw13.set,Ftsw13,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Ftsw,Ftsw.set,Ftsw1,Ftsw14.set,Ftsw14,set_node,28,11 | 300# | RF | STD | 10,Ftsw | ftsw | FTSW | Fxly,,,,,
Fxly,Fxly.set,Fxly2,Fxly1.set,Fxly1,set_node,28,18 | 150# | RF | STD | 6,Fxly | fxly,,,,,
Fxly,Fxly.set,Fxly2,Fxly2.set,Fxly2,set_node,28,18 | 150# | RF | STD | 6,Fxly | fxly,,,,,
Gensets,,,Configs.set,Metric,set_node,3,Inches | Celsius,Acknowledgements | ActiveTab | Aknowledgements | Configs | Date | Disclaimer | DxfActiveTab | Empty | EmptyApps | GapFile | License | NetLicPath | Parameters | ParametersImperial | ParametersMetric | ParametersProcessAreaSpansI | ParametersProcessAreaSpansM | Pipedata | Rev | SearchFile | Sectors | SizeAndLocation | SystemInfo | TabList | TabListIndex | Username | Zeataline,,,,,
